Win.Loss,avg_ally_champ_wr,avg_ally_champ_games,avg_ally_total_games,avg_ally_overall_wr,avg_ally_cs,avg_ally_kda,avg_enemy_champ_wr,avg_enemy_champ_games,avg_enemy_total_games,avg_enemy_overall_wr,avg_enemy_cs,avg_enemy_kda
loss,37.8,11.4,38.8,45.0,176.29999999999998,2.3178799999999997,66.4,21.2,165.8,48.0,144.77999999999997,2.9992999999999994
win,72.822,2.4,62.42,49.012,131.62,4.475479999999999,32.2,6.0,58.4,46.8,142.88,3.7568400000000004
loss,38.822,18.0,95.02000000000001,46.812,124.2,1.85458,62.4,55.0,129.2,51.6,148.23999999999998,2.945442
win,63.6,24.0,153.0,54.8,149.84,2.3289999999999997,43.0,21.2,135.4,48.2,154.01999999999998,2.058498
win,79.0,5.4,176.4,56.612,148.72,3.0726620000000002,43.6,10.0,160.2,49.2,129.62,2.9445799999999998
win,52.0,6.4,60.6,49.4,131.74,2.3101,23.2,8.0,110.4,53.8,124.25999999999999,1.52328
win,72.2,9.8,55.8,48.2,148.22,2.9649199999999998,24.6,17.4,204.4,46.4,150.07999999999998,1.7195999999999998
win,72.04400000000001,3.2,97.44,52.624,98.62,3.0195,42.2,46.6,158.6,48.4,145.48,2.46246
loss,51.222,65.0,126.22,52.012,99.42,2.5834859999999997,45.8,15.8,82.6,46.2,157.34000000000003,2.2700799999999997
loss,45.8,14.6,59.2,53.2,148.92000000000002,2.16156,68.4,11.0,72.6,49.4,149.4,4.12646
win,64.2,10.6,73.2,52.4,159.60000000000002,3.199624,38.8,8.4,150.2,46.8,162.06,1.8665600000000002
loss,40.2,19.2,104.4,47.2,169.17999999999998,1.9347400000000001,56.222,25.6,150.42000000000002,51.012,153.68,2.4023619999999997
loss,43.6,19.8,127.6,49.6,188.7,1.7221,48.6,15.0,53.6,52.4,156.45999999999998,2.64512
win,63.2,25.0,78.4,52.6,134.4,2.37766,33.6,16.8,97.2,44.6,136.66,2.45958
loss,39.2,10.2,137.6,44.0,135.68,2.22522,59.2,33.6,66.0,54.4,149.07999999999998,3.7870720000000007
win,76.0,41.4,83.6,58.4,117.47999999999999,3.1409999999999996,25.222,2.4,44.22,53.012,99.5,1.9360399999999998
